,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,InternetService_1,InternetService_2,Contract_1,Contract_2,PaymentMethod_1,PaymentMethod_2,PaymentMethod_3
33,1,0,0,0,1,1,0,0,0,0,0,0,0,0,33,26,0,False,True,False,False,False,False,False
34,1,1,0,0,1,1,0,0,0,0,0,0,0,0,310,151,0,False,False,False,False,False,False,False
35,0,0,1,1,72,1,1,1,1,0,1,1,0,0,1279,6274,0,True,False,False,True,False,False,False
36,1,0,0,0,5,1,0,0,0,0,0,0,0,1,709,1182,1,True,False,False,False,False,True,False
37,0,0,0,0,46,1,0,0,0,1,0,0,0,1,803,4663,0,True,False,False,False,True,False,False
38,1,0,0,0,34,1,1,0,1,1,0,1,1,1,1402,4664,1,True,False,False,False,False,True,False
39,0,0,0,0,11,1,1,0,0,1,0,1,1,1,1239,2625,1,True,False,False,False,False,False,False
40,1,0,1,1,10,1,0,0,1,0,0,0,0,0,367,1556,0,False,False,True,False,False,False,True
41,0,0,1,1,70,1,1,1,1,0,0,1,0,1,699,5330,0,False,False,False,True,True,False,False
42,0,0,1,1,17,1,0,0,0,0,0,0,0,0,44,1426,0,False,True,True,False,False,False,True
43,0,0,0,0,63,1,1,1,1,1,1,1,0,1,897,5320,0,False,False,False,True,True,False,False
44,0,0,1,0,13,1,1,1,1,0,1,1,0,1,831,2440,0,False,False,False,False,False,True,False
45,0,0,0,0,49,1,1,0,0,0,0,0,1,1,985,4843,0,True,False,False,False,False,True,False
46,1,0,0,0,2,1,0,0,1,0,0,0,0,0,361,499,0,False,False,False,False,False,False,True
47,0,0,0,0,2,1,0,0,0,0,0,1,0,1,913,646,1,True,False,False,False,False,True,False
48,1,0,0,0,52,1,1,1,0,0,1,1,1,1,895,5010,0,False,False,False,True,True,False,False
49,0,0,1,1,69,1,1,1,0,1,1,0,0,1,611,5025,0,False,False,False,True,True,False,False
50,0,1,0,0,43,1,1,0,1,0,0,1,0,1,1098,4803,0,True,False,False,False,False,True,False
51,0,0,0,0,15,1,0,1,1,0,0,1,1,1,1263,3118,1,True,False,False,False,True,False,False
52,0,1,1,0,25,1,1,1,0,0,1,1,0,1,705,3476,0,False,False,False,False,True,False,False
53,0,1,1,0,8,1,1,0,1,0,0,0,0,1,913,1851,1,True,False,False,False,True,False,False
54,0,1,1,1,60,1,0,1,1,1,1,0,1,1,804,5122,0,False,False,True,False,True,False,False
55,1,1,0,0,18,1,1,0,0,0,0,1,1,1,1197,3475,1,True,False,False,False,False,True,False
56,0,0,1,1,63,1,1,1,0,0,0,1,1,1,1274,5959,0,True,False,True,False,True,False,False
57,1,1,1,1,66,1,1,0,1,1,1,1,1,1,1440,6226,0,True,False,True,False,False,True,False
58,0,0,1,1,34,1,1,0,0,0,0,0,0,0,91,2300,0,False,True,False,True,True,False,False
59,0,0,0,0,72,1,1,0,0,1,1,1,1,1,1423,6416,0,True,False,False,True,True,False,False
60,0,0,1,0,47,1,1,0,0,1,0,1,1,1,1291,5242,0,True,False,False,False,False,True,False
61,1,0,0,0,60,1,1,0,1,0,0,1,0,1,1091,5584,0,True,False,False,False,False,False,False
62,1,0,1,0,72,0,0,1,1,1,0,0,0,0,265,4323,0,False,False,False,True,False,False,False
63,0,0,1,1,18,1,0,0,0,1,1,0,0,1,447,2406,0,False,False,True,False,True,False,False
64,0,0,0,0,9,1,1,0,0,0,0,1,1,0,1176,2242,1,True,False,False,False,False,True,False
65,0,0,0,0,3,1,0,0,1,0,1,1,1,1,813,983,0,False,False,False,False,False,True,False
66,1,0,1,0,47,1,1,0,1,0,0,0,0,1,878,4717,0,True,False,True,False,False,True,False
67,0,0,0,0,31,1,0,0,1,1,1,1,1,0,884,4054,0,False,False,False,True,False,False,True
68,0,0,1,1,50,1,0,0,0,0,0,0,0,0,32,2361,0,False,True,False,True,False,False,False
69,1,0,0,0,10,1,0,1,0,1,0,0,0,1,897,2286,0,True,False,False,False,False,False,True
70,1,0,0,0,1,1,0,0,0,0,1,0,0,0,357,178,0,False,False,False,False,False,False,True
71,0,0,1,1,52,1,0,0,0,0,0,0,0,1,37,2606,0,False,True,True,False,False,True,False
72,1,1,1,1,64,1,1,1,0,1,1,1,1,1,1498,6231,0,True,False,False,True,False,False,False
73,1,0,1,1,62,1,1,0,0,0,0,0,0,1,77,3114,0,False,True,False,True,False,False,False
74,0,0,0,1,3,1,0,1,0,0,1,0,1,1,618,772,0,False,False,False,False,False,False,False
75,0,1,0,0,56,1,1,1,1,1,0,1,1,0,1478,5895,0,True,False,True,False,False,True,False
76,0,0,0,0,46,1,0,0,0,0,0,0,1,0,472,4180,0,False,False,True,False,True,False,False
77,0,0,1,1,8,1,0,1,1,0,0,0,0,0,452,1567,0,False,False,False,False,False,False,True
78,1,1,0,0,30,1,0,1,1,0,0,1,1,1,802,3794,0,False,False,False,False,False,True,False
79,0,0,1,1,45,1,1,0,0,0,0,0,0,1,110,2788,0,False,True,True,False,True,False,False
80,0,0,0,1,1,1,0,0,0,0,0,1,0,1,887,383,1,True,False,False,False,False,True,False
81,0,0,1,1,11,0,0,1,0,0,0,1,1,0,387,1733,0,False,False,False,False,False,True,False
82,0,0,1,0,7,1,0,0,0,1,0,0,0,1,810,1597,1,True,False,False,False,False,False,False
83,0,0,0,0,42,1,0,0,1,1,1,1,1,1,1351,5069,0,True,False,False,False,False,False,False
84,0,0,1,0,49,1,0,0,0,0,0,0,0,1,32,2430,0,False,True,False,True,False,False,False
85,1,0,0,0,9,1,1,0,1,0,0,1,1,1,1267,2338,0,True,False,False,False,True,False,False
86,0,0,1,0,35,1,0,1,0,0,0,1,0,1,583,3868,0,False,False,True,False,False,False,False
87,0,0,1,1,48,1,0,0,0,0,0,0,0,0,42,2553,0,False,True,False,True,False,False,False
88,0,0,1,1,46,1,0,0,0,0,0,0,0,1,28,2350,0,False,True,False,True,False,False,True
89,1,0,1,0,29,0,0,0,0,0,0,1,0,0,173,2476,0,False,False,False,False,False,False,True
90,1,0,1,1,30,1,0,0,1,1,0,0,0,0,941,4103,0,True,False,False,False,False,False,False
91,1,1,0,0,1,1,0,0,0,0,1,0,0,0,801,344,0,True,False,False,False,False,True,False
92,1,0,1,1,66,1,1,1,0,1,1,1,1,1,975,5705,0,False,False,False,True,False,False,True
93,0,0,0,0,65,1,1,1,1,1,0,1,1,1,1487,6234,0,True,False,False,False,True,False,False
94,1,0,0,0,72,1,1,0,1,1,0,1,1,1,1299,6326,0,True,False,False,True,False,False,False
95,0,0,0,0,12,1,1,1,0,0,0,0,0,1,879,2352,1,True,False,False,False,False,True,False
96,1,0,1,1,71,1,1,1,1,0,1,0,0,1,662,5266,0,False,False,True,False,True,False,False
97,1,0,0,0,5,1,0,0,0,0,0,0,0,0,50,557,1,False,True,False,False,False,False,True
98,1,0,0,0,52,1,0,0,0,0,0,0,0,0,49,2626,0,False,True,False,True,False,False,False
99,0,1,1,0,25,1,0,0,1,1,0,1,1,1,1252,4066,1,True,False,False,False,False,True,False
100,1,0,0,0,1,1,0,0,0,0,0,0,0,0,33,26,0,False,True,False,False,False,False,True
101,0,0,1,1,1,1,0,0,0,0,0,0,0,0,18,11,0,False,True,False,False,False,True,False
102,1,0,0,0,38,1,1,0,0,1,1,1,0,0,1188,4691,0,True,False,True,False,False,False,False
103,0,1,1,0,66,0,0,0,1,1,0,1,0,0,316,4371,0,False,False,True,False,False,False,False
104,1,0,1,0,68,1,1,0,1,1,1,1,1,1,1469,6366,1,True,False,False,True,False,False,False
105,1,0,0,0,5,0,0,0,0,0,0,0,0,0,78,508,0,False,False,False,False,False,False,True
106,0,0,1,1,72,1,1,1,1,0,0,1,1,1,1358,6288,0,True,False,True,False,False,True,False
107,0,0,0,0,32,0,0,1,0,0,0,0,0,0,147,2353,0,False,False,True,False,False,False,True
108,1,0,0,0,43,1,1,0,0,0,0,1,1,0,1175,4850,0,True,False,True,False,False,False,True
109,1,0,1,1,72,1,0,0,0,0,0,0,0,0,17,3009,0,False,True,False,True,True,False,False
110,1,0,1,0,55,1,1,1,1,0,0,1,0,1,1222,5501,1,True,False,False,False,False,True,False
111,0,0,0,0,52,1,0,1,0,1,1,0,0,0,508,4380,0,False,False,True,False,True,False,False
112,0,0,0,0,43,1,0,0,1,1,0,1,0,1,1126,4867,0,True,False,False,False,False,True,False
113,0,1,1,0,37,1,1,0,0,0,0,0,0,1,837,4272,1,True,False,False,False,False,True,False
114,0,0,1,1,64,0,0,0,1,0,1,1,1,1,451,4591,0,False,False,False,True,False,True,False
115,1,0,1,1,3,1,0,1,1,0,0,1,0,0,1090,998,0,True,False,False,False,False,True,False
116,0,0,0,0,36,0,0,1,0,0,0,0,0,0,161,2658,0,False,False,False,True,False,False,False
117,0,0,1,1,10,1,1,1,0,0,0,1,1,1,1286,2564,1,True,False,False,False,False,True,False
118,0,0,0,0,41,1,0,0,0,0,0,0,0,0,42,2205,0,False,True,False,True,False,False,True
119,1,0,1,1,27,1,1,0,1,0,1,0,0,1,999,3812,0,True,False,False,False,True,False,False
120,0,0,1,1,56,1,1,0,0,1,0,1,1,1,1277,5612,0,True,False,True,False,True,False,False
121,0,0,0,0,6,1,0,0,0,0,0,0,0,0,43,552,0,False,True,False,False,False,False,True
122,1,0,0,0,3,1,1,0,0,0,0,0,0,1,795,938,1,True,False,False,False,False,True,False
123,0,0,1,1,7,1,0,1,0,0,0,0,0,0,390,1275,0,False,False,False,False,False,False,True
124,0,0,1,1,4,1,0,0,0,0,0,0,0,0,46,262,0,False,True,False,False,False,False,True
125,1,0,0,0,33,1,0,1,0,0,1,1,0,1,1072,4373,0,True,False,False,True,False,True,False
126,0,1,0,0,27,1,1,0,0,1,0,0,0,1,861,3804,1,True,False,False,False,False,True,False
127,1,0,1,0,72,1,1,0,0,0,0,0,0,1,64,3438,0,False,True,False,True,False,False,False
128,1,0,0,0,1,1,0,0,0,0,0,0,0,0,24,17,0,False,True,False,False,False,False,True
129,1,1,0,0,71,0,0,1,1,0,0,1,1,1,488,4886,0,False,False,True,False,False,True,False
130,0,0,0,0,13,1,1,0,0,0,0,0,1,1,1014,2785,0,True,False,False,False,False,True,False
131,0,0,1,1,25,0,0,1,1,1,0,1,1,1,517,3210,1,False,False,False,False,True,False,False
132,1,0,0,0,67,1,0,0,0,0,1,0,0,0,387,4509,0,False,False,False,True,False,False,False
133,1,0,0,0,1,0,0,0,0,0,0,0,1,1,198,95,1,False,False,False,False,False,True,False
134,1,0,0,0,2,1,0,0,0,0,0,0,0,0,292,408,1,False,False,False,False,False,True,False
135,0,0,0,0,43,1,1,0,0,0,0,0,0,1,106,2744,0,False,True,False,True,True,False,False
136,0,0,0,0,23,1,0,1,0,0,0,0,0,1,807,3502,0,True,False,False,False,False,False,False
137,0,0,1,1,64,1,0,0,0,0,0,0,0,0,33,2888,0,False,True,False,True,False,False,True
138,1,0,0,1,57,1,0,0,0,0,0,0,0,1,21,2719,0,False,True,False,True,False,False,True
139,0,1,1,0,1,1,0,0,0,0,0,0,0,1,724,305,1,True,False,False,False,False,False,True
140,0,1,1,1,72,1,1,1,1,1,1,1,1,1,1054,6008,0,False,False,False,True,True,False,False
141,0,0,0,0,8,1,1,1,0,0,1,0,1,0,738,1729,1,False,False,False,False,False,True,False
142,0,0,1,0,61,1,1,0,1,0,0,1,1,1,1302,5825,0,True,False,False,True,False,False,False
143,1,0,0,0,64,1,1,1,1,0,0,0,0,1,981,5518,0,True,False,True,False,True,False,False
144,1,1,1,0,71,1,1,0,0,0,0,0,0,0,71,3479,0,False,True,False,True,False,False,False
145,0,0,1,1,65,1,1,1,1,0,1,1,0,1,1262,6003,0,True,False,False,True,True,False,False
146,1,0,0,0,3,1,0,0,0,0,0,0,0,0,21,255,0,False,True,True,False,False,False,True
147,1,0,0,0,1,1,0,0,0,0,0,0,0,1,318,157,1,False,False,False,False,False,True,False
148,1,0,0,1,30,1,0,0,1,1,0,1,0,0,618,3656,0,False,False,True,False,True,False,False
149,1,0,1,1,15,1,0,0,1,1,1,0,1,1,705,2577,0,False,False,False,False,False,False,True
150,0,0,1,1,8,1,0,0,0,0,1,1,1,1,686,1730,0,False,False,False,False,False,True,False
151,1,0,0,0,7,1,1,0,0,0,0,1,1,0,1188,1888,1,True,False,False,False,False,False,True
152,0,0,1,1,70,1,1,1,1,1,0,1,1,1,1434,6435,0,True,False,True,False,True,False,False
153,1,0,1,1,62,1,0,1,1,1,1,1,1,0,1017,5485,0,False,False,False,True,False,True,False
154,0,0,1,1,6,1,0,0,0,0,0,0,0,0,23,555,0,False,True,False,False,False,False,True
155,0,0,1,1,14,1,0,0,0,0,0,0,1,1,918,2697,0,True,False,False,False,False,False,False
156,0,0,0,0,22,1,1,0,0,0,0,1,0,1,978,3556,0,True,False,False,False,False,False,False
157,1,0,1,1,22,1,0,0,0,0,0,0,0,0,32,1433,0,False,True,True,False,False,False,True
158,1,0,1,1,16,1,0,1,0,1,0,1,0,0,613,2501,0,False,False,False,True,False,False,True
159,1,0,0,0,10,1,1,0,0,0,0,0,0,0,106,1007,0,False,True,False,True,False,False,False
160,0,0,0,1,13,1,0,1,1,0,0,0,0,1,479,2077,0,False,False,False,False,False,True,False
161,0,0,1,0,20,1,1,1,0,0,0,0,0,0,946,3307,1,True,False,False,False,False,True,False
162,0,0,0,0,2,1,0,0,0,0,0,0,0,1,709,616,0,True,False,False,False,False,True,False
163,1,0,0,0,53,1,1,0,1,1,1,0,1,1,785,4870,0,False,False,False,True,False,False,False
164,0,0,1,1,11,1,0,0,0,0,0,0,0,0,41,951,0,False,True,True,False,False,False,True
165,1,0,1,0,69,1,0,0,0,0,0,0,0,0,27,3010,0,False,True,False,True,False,False,True
166,0,0,0,0,4,1,0,0,0,0,0,0,0,1,733,1072,1,True,False,False,False,False,False,False
167,1,0,1,0,72,1,1,1,1,1,1,1,1,1,1074,5937,0,False,False,False,True,False,False,False
168,1,1,1,0,58,0,0,0,1,1,0,0,1,1,311,4152,1,False,False,False,False,False,True,False
169,0,0,1,1,16,1,0,0,0,0,0,0,0,0,37,1195,0,False,True,False,False,False,True,False
170,1,0,1,0,43,1,0,1,0,1,1,0,0,1,980,4655,0,True,False,True,False,False,False,False
171,0,0,1,0,2,1,1,0,0,1,1,1,1,1,1363,980,1,True,False,False,False,False,True,False
172,1,0,1,0,14,1,0,0,1,1,1,1,1,0,939,2735,0,False,False,False,True,False,False,True
173,0,0,1,0,53,1,0,0,0,1,0,1,1,1,1185,5402,1,True,False,True,False,False,False,False
174,0,0,0,0,32,1,0,0,0,0,0,0,0,0,40,1885,0,False,True,True,False,False,False,False
175,0,0,1,0,34,1,1,0,0,0,0,0,0,0,86,2105,0,False,True,False,False,False,True,False
176,0,1,0,0,15,1,1,0,0,0,0,0,0,1,796,2686,1,True,False,False,False,False,False,True
177,0,1,0,0,7,1,0,1,0,0,0,0,0,0,836,1611,1,True,False,False,False,False,False,False
178,0,0,1,1,15,1,1,0,1,1,0,1,1,1,1382,3277,0,True,False,False,False,False,False,False
179,1,0,1,0,61,1,0,0,0,0,0,0,0,1,40,2839,0,False,True,True,False,True,False,False
180,0,0,0,0,1,0,0,0,1,0,0,0,0,0,144,76,1,False,False,False,False,False,False,False
181,0,0,0,0,1,1,0,0,0,0,0,0,0,0,311,152,0,False,False,False,False,False,False,True
182,1,0,0,0,8,1,1,0,0,0,0,0,1,0,985,1901,1,True,False,False,False,False,False,False
183,1,0,1,1,33,1,0,1,0,1,0,1,1,0,802,4027,0,False,False,True,False,True,False,False
184,0,0,0,0,13,1,0,0,1,1,0,0,0,1,885,2636,1,True,False,False,False,False,True,False
185,0,0,1,0,1,0,0,0,0,0,0,0,0,1,88,55,1,False,False,False,False,False,True,False
186,1,0,0,0,20,1,0,0,1,0,0,0,0,1,412,2498,0,False,False,False,False,False,False,True
187,1,0,0,0,3,0,0,0,0,0,1,0,0,0,152,411,0,False,False,False,False,False,True,False
188,0,0,0,0,13,1,0,0,0,0,0,0,0,0,22,987,0,False,True,True,False,False,True,False
189,0,0,1,0,40,1,1,0,1,0,0,0,0,0,491,3973,0,False,False,False,False,True,False,False
190,1,0,1,1,43,1,1,1,0,0,1,0,1,1,752,4459,0,False,False,True,False,True,False,False
191,1,0,1,0,6,1,0,0,1,1,0,0,1,1,1113,1665,1,True,False,False,False,False,True,False
192,0,0,1,1,69,1,0,0,0,0,0,0,0,0,24,3024,0,False,True,False,True,False,False,False
193,0,0,1,1,72,1,1,1,1,1,0,1,1,0,1463,6476,0,True,False,False,True,True,False,False
194,1,0,1,1,59,1,0,0,0,0,0,0,0,0,15,2752,0,False,True,False,True,True,False,False
195,0,0,1,0,20,1,0,1,1,0,1,1,0,1,1218,3633,0,True,False,False,False,False,True,False
196,1,0,1,1,24,1,1,0,0,0,0,0,0,1,74,1774,0,False,True,False,True,False,False,False
197,1,0,0,0,59,1,1,0,1,1,1,1,1,1,1493,6040,0,True,False,False,False,False,True,False
198,1,0,1,1,72,1,1,0,1,1,1,1,1,1,1506,6459,0,True,False,False,True,False,False,False
199,1,0,0,1,1,1,0,0,0,0,0,0,0,0,44,37,0,False,True,False,False,False,False,True
200,0,0,1,0,27,1,0,1,0,0,1,1,1,1,1317,4174,0,True,False,True,False,True,False,False
201,0,0,0,0,14,1,0,0,1,0,1,0,0,1,901,2638,0,True,False,False,False,True,False,False
202,1,0,1,1,71,1,1,1,0,1,0,1,1,0,1386,6316,0,True,False,False,True,False,True,False
203,1,0,0,1,13,1,0,0,0,0,0,1,0,1,866,2521,0,True,False,False,False,True,False,False
204,1,0,0,0,44,1,0,0,0,0,0,0,0,0,692,4319,0,True,False,False,False,True,False,False
205,0,0,0,0,33,1,0,0,1,0,1,0,0,1,899,4177,0,True,False,True,False,False,False,False
206,1,0,1,1,72,0,0,1,1,1,1,0,1,1,468,4995,0,False,False,False,True,True,False,False
207,1,0,0,0,1,1,0,0,0,0,0,0,1,0,898,391,1,True,False,False,False,False,True,False
208,0,0,0,0,19,1,0,1,0,1,1,1,1,1,1407,3661,1,True,False,False,False,False,True,False
209,1,0,1,0,64,1,0,0,1,1,1,1,1,1,1326,6085,0,True,False,True,False,True,False,False
210,1,0,0,0,2,1,0,0,0,0,0,0,0,1,325,422,1,False,False,False,False,True,False,False
211,0,0,0,0,1,0,0,0,0,0,0,0,0,0,97,62,0,False,False,False,False,False,True,False
212,1,0,0,1,61,1,0,0,0,0,0,0,0,0,24,2655,0,False,True,False,True,False,False,True
213,0,0,1,1,29,1,0,0,0,0,0,0,0,0,29,1684,0,False,True,True,False,False,True,False
214,1,1,1,0,23,1,1,0,0,0,0,0,1,0,1031,3692,0,True,False,False,False,False,True,False
215,0,0,1,0,57,0,0,1,1,1,0,1,1,1,520,4597,0,False,False,False,False,False,False,False
216,1,0,1,1,72,0,0,1,1,1,1,0,0,0,310,4438,0,False,False,False,True,True,False,False
217,1,0,1,0,66,0,0,1,1,1,1,1,0,1,491,4780,0,False,False,False,True,False,False,False
218,1,0,1,1,65,1,1,0,1,1,1,1,1,1,979,5536,0,False,False,False,True,False,False,False
219,0,0,0,0,8,1,0,0,0,0,0,1,0,1,900,1839,0,True,False,False,False,False,False,False
220,0,0,0,0,4,1,0,0,0,0,0,0,0,1,718,1057,1,True,False,False,False,False,True,False
221,0,0,1,0,71,1,1,0,0,0,0,0,0,0,87,3566,0,False,True,False,True,False,False,False
222,1,0,1,1,1,1,0,0,0,0,0,0,0,1,33,26,0,False,True,True,False,False,True,False
223,1,0,1,0,4,1,0,0,0,0,1,0,0,0,377,779,1,False,False,False,False,False,False,True
224,0,0,0,0,12,1,0,0,0,0,0,0,0,1,16,894,0,False,True,True,False,False,False,False
225,1,0,0,0,24,0,0,1,0,0,0,1,1,1,388,2902,0,False,False,True,False,False,False,True
226,0,0,1,1,31,1,0,1,0,1,1,1,1,1,923,4083,0,False,False,True,False,False,False,True
227,0,0,1,0,1,1,0,0,0,0,0,1,0,0,463,224,1,False,False,False,False,False,False,True
228,1,0,0,0,30,1,1,0,0,0,1,0,1,1,1091,4193,0,True,False,False,False,True,False,False
229,0,0,1,1,47,1,1,1,1,0,1,1,1,1,1001,4947,0,False,False,False,True,True,False,False
230,1,0,0,0,54,1,1,1,1,0,1,1,1,1,1431,5731,0,True,False,False,True,True,False,False
231,1,0,0,0,50,1,0,1,1,0,1,0,1,1,1158,5263,0,True,False,False,False,True,False,False
232,1,0,0,0,1,1,0,1,0,0,0,0,1,1,987,423,1,True,False,False,False,False,False,True
233,0,0,0,0,72,1,0,0,0,0,0,0,0,0,34,3287,0,False,True,False,True,True,False,False
234,0,0,0,0,29,1,1,0,0,0,0,0,0,0,95,1976,0,False,True,False,False,False,True,False
235,1,0,0,0,2,1,1,0,1,0,0,0,0,1,447,559,1,False,False,False,False,False,False,True
236,0,0,0,0,10,0,0,0,0,0,1,0,0,1,137,1134,0,False,False,False,True,False,False,True
237,1,0,1,0,18,1,1,0,0,0,0,0,0,1,771,2928,0,True,False,False,False,False,True,False
238,0,1,0,0,11,1,0,0,1,0,0,1,1,1,1188,2649,1,True,False,False,False,False,True,False
239,1,0,0,0,16,1,0,0,0,0,0,0,0,0,24,1098,0,False,True,False,True,False,False,True
240,0,0,0,0,72,1,1,0,1,1,1,1,1,0,1027,5975,0,False,False,False,True,False,False,False
241,1,0,0,0,72,1,1,0,1,1,1,1,1,0,1454,6423,0,True,False,False,True,False,False,False
242,0,0,1,1,41,1,0,1,0,0,1,1,1,1,801,4469,0,False,False,True,False,True,False,False
243,0,1,1,0,65,1,0,1,1,1,0,0,1,0,1176,5887,0,True,False,False,False,False,True,False
244,0,1,0,0,13,1,0,0,1,1,0,0,0,1,455,2021,0,False,False,False,False,False,True,False
245,1,1,0,0,4,1,0,1,0,0,0,0,0,0,814,1075,0,True,False,False,False,False,True,False
246,1,0,0,0,41,1,1,0,0,1,0,0,1,0,628,4073,0,False,False,True,False,False,False,True
247,1,1,0,0,15,1,0,0,1,0,0,0,0,1,795,2582,1,True,False,False,False,False,True,False
248,1,0,0,0,1,1,0,1,0,0,0,0,0,1,347,173,1,False,False,False,False,False,False,True
249,1,0,0,0,42,1,1,1,1,1,0,0,1,1,1261,5048,0,True,False,True,False,False,True,False
250,0,0,1,0,51,1,0,1,1,1,0,1,0,1,1158,5203,0,True,False,True,False,False,True,False
251,0,0,1,1,2,1,0,0,0,0,0,0,0,0,723,660,1,True,False,False,False,False,True,False
252,1,1,1,0,1,0,0,0,1,0,0,1,0,0,246,116,1,False,False,False,False,False,True,False
253,1,0,0,1,32,1,1,0,1,1,1,1,1,0,969,4140,0,False,False,True,False,True,False,False
254,1,0,0,0,10,1,0,0,0,0,0,0,0,1,26,821,0,False,True,False,False,False,False,True
255,0,0,1,1,67,0,0,0,1,1,1,1,1,1,534,4946,0,False,False,False,True,False,True,False
256,0,0,1,1,61,1,1,1,1,1,1,1,1,0,1547,6206,0,True,False,False,True,True,False,False
257,1,0,0,0,50,1,1,1,1,1,1,1,1,0,1534,5745,0,True,False,True,False,True,False,False
258,0,0,1,0,2,1,0,0,0,0,0,0,0,1,297,401,1,False,False,False,False,True,False,False
259,0,1,1,0,29,0,0,1,0,1,0,0,1,1,305,2804,0,False,False,False,False,False,True,False
260,1,1,0,0,3,0,0,0,0,1,0,0,1,1,260,606,1,False,False,False,False,False,True,False
261,1,1,0,0,13,1,1,0,1,1,0,1,1,1,1413,3011,1,True,False,False,False,False,True,False
262,1,1,1,0,57,1,1,0,1,0,0,0,1,1,1090,5369,0,True,False,False,False,False,True,False
263,0,0,0,0,31,0,0,1,1,0,1,0,1,1,373,3231,0,False,False,False,True,False,False,False
264,0,0,1,0,45,1,1,1,1,1,1,1,1,0,1520,5419,0,True,False,True,False,False,False,True
265,0,0,1,1,61,1,1,1,1,1,1,1,1,0,1055,5615,0,False,False,False,True,False,False,True
266,1,0,0,0,50,1,1,0,0,0,0,0,0,0,90,2756,0,False,True,False,True,False,False,False
